Year,Country,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),"Bonaire, Sint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,"China, Hong Kong SAR","China, Macao SAR",Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czechia,Dem. People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland Islands (Malvinas),Faroe Islands,Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Fed. States of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,Réunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United Republic of Tanzania,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
1995,Democratic Republic of the Congo,,,,,,276402,,,,,,,,,,,,,,,,,,,,,,,,,,,,128458,,,,,,,,,,,,,,,5912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1132791,,,,,,,,,,,,,,,,,,,,,137306,,,,15271,,,,,,,,,,,,,,,,,19780,,,,,,,,,,,,,,,,
1995,Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1529,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501,,,,,,,,,,,,,,429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Gabon,,,45,,,457,,,,,,,,,,,,,,206,,21584,,,,,,,,,,,2891,69,,,20944,121,,,1870,,,143,,,,,6747,,,1403,,,,,,67,3683,,,,,,,,35966,,,,,,,,,6645,,,,,,36,2631,,,,,,,,2058,,,,,,,,,,,,,,6,,,13,,,,,,,,,1034,,,,,,,,,,,22807,,,,,,,,,,,,,295,,,,,,,,,,,9887,,,,,,,,,,,,,,,,,80,,,,,87,,,,,,,,2690,,12612,,,,,,,,,,5,,,,,,,,,12,,,,9517,,,,93,,,,,,,,,,226,,,,,,,,,,,
1995,Sao Tome and Principe,,,,,,556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,,,,,,,,,,,,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228,,,,,,,,,,,,,,,,,,,,,,,,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Botswana,,,,,,889,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,,,,1055,,,,,,,,,,,,,,,849,98,,,,,,,,,,174,,,,,,,,,,,,320,,,,,,,,,,,,,,,,,2375,,,,178,,,155,,,,,179,,,,,,,816,,,,,,161,1150,,,,,,,,471,,,,,,,,,297,,462,,,181,,,,,187,,,,111,,175,,,,,,,,132,,,,,,,,,,,,,,,,,,,,67,,,,,,,,9329,,,480,,,,124,,,,,,,,,,,,,,,411,,,2034,743,313,,,,,,,,,,3213,7917
1995,Eswatini,,,,,,143,,,,,,6,,,,,,,,,,,,,,,,64,,,,,,132,,,,4,,,,,,,,,,,9,,,,,,,,,,180,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,5,,,,,,,,,,,,,,,,,,,,,,,18085,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,128,9097,,,,,,,,,,,,,,,,,,,,,,8,,,,,112,,,,,,,,,,,
1995,Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,105,,,,,,,,,,,,,,,,266,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,28,,4,,,,,,,,,,,,,,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2528,,,,,,,,,,,,,,,,,,,,,,160,,,,100,91,,,,,,,,,,72,72
1995,Namibia,61,,684,,,22978,,662,70,89,,758,861,,70,68,45,,,260,,219,,,,,,932,755,,,43,100,549,,,167,266,,,,,45,4392,,,,,1579,,,43,,961,,,107,142,4501,160,,,,,245,,,,,277,298,,,,110,758,,,,122,,12815,202,,,,,,,,75,,,,,,,,953,127,43,,85,,153,1165,,160,,,1569,,,,,,65,177,,49,,,61,,521,,,,,,,,151,,,,,,,,,194,,,,,729,,70,,,1389,,,,75,,235,,,,,,348,238,613,,,49,,,43,642,506,,,,,,,,,,43,,80,231,,,,,,131,11988,,485,,,281,,142,606,,,104,,,,,,,49,,,,680,363,,2429,1553,1485,,,,,,,,,,4277,20430
1995,South Africa,36,63,233,,,11043,,,702,,,3145,2520,,,100,1540,18,93,4009,,119,38,,98,,91,15678,960,14,14,2393,,1305,,,1436,2292,,73,,,405,8051,1075,,159,120,3712,,,695,391,416,,1304,779,85,7488,886,,,,,1204,,,325,56,28635,1792,,,29,370,3828,,,190,,,25144,4046,21,3034,,,,,56,48,18,34,,,,,13,10958,742,424,88,4728,,1879,8891,119,786,34,,3911,,56,0,20,163,563,130897,192,98,,157,11,263,17067,554,34,65,133,,,,3604,,86,,9,,,,660,320659,131,23874,14,77,11283,,1181,66,13,10027,13,48,17,435,20,2469,,36,36,72,124,922,2497,16592,,,1013,,561,631,1138,1512,137,16,,,,,,,377,1674,1550,133,239,352,,164,,,2874,,0,478,600,60,1633,,95,2225,70,,225,,,,,16,69,551,,,,2882,1488,109,105771,1698,7115,,69,,,184,97,,,51,12880,82744
1995,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4830,,,,,,,,198,,,,,,,,542,,,3906,,,,,,,,,,,,,,,,,,,,,,,,510,,,,,,,2902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366,,,,,,,,,,,,,,,,,,,,,,,36802,21661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23369,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,2554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75987,,,,,,,,,,,,,,,,,,,,,,,10291,3161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2466,,,,,,,,,,,,,,,,,,,,,,,7625,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Cabo Verde,,,,,,1899,,,8,,,,,,,,,,,19,,,,,,,,,104,,,,,,,,,,,,,,,41,,,,,,,,12,,92,,,,,,,,,,,,,,,,,,,,,,137,,,14,10,,33,74,,,,,,,,80,839,,,,,,,,,,,,,,253,,3,,,,,,,,,,,,,,,8,,,,,12,,,,,,,5,,,,,,,64,,,,,72,,,,,114,,,,,,,,,,,4,,,1031,,,,,,,74,,,,,,,,,3111,,384,,,26,,,,,,,,,40,,,,,,24,,,,14,,,,,,,,,,,37,,22,,232,30,,,,,,,,,,
1995,Côte d'Ivoire,,,,,,,,,,,,,,,,,,,,,,57138,,,,,,,,,,,1114233,,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6022,,,90436,,,,,,,,135616,344,,,,,,,,,,,,,,,,,,,,,,,,,,,22779,5397,,,,,,,,445636,,,,10316,,,,,,,,,,,,,,,,,,,55202,36486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24586,,,693,,,,,,,,,,,,,,,,,,,,33605,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30668,9365,,,,,,,,,,,,,,,,,,,,,,,,,,,286,,,,,,,,,7028,,,,2474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89990,,,6835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Ghana,,,7,,,,,,,,,17,,,,,,,,,,8928,,,,,,,7,,,,41526,,,,61,147,,,8,,,121,,,,,,,,4885,,,,,,,16,,,,,,21,,,,,,16,,,,,116,,,,19,,,,,,,,,,,74,,,,,,,,452,,,,,,24,123,,30,,,8,,,,,,523,,14538,,,,,,,,,3580,,,,9,,,,,,,,,,,,,,,131,,,,4214,14826,,,,,,47,,,,,,20,34,,,,,,,,47,267,,,,,,,,,,53,,,1180,,,,,,,,,,15,,18,,,104,37,,,,144121,,,,,,,,,,,,969,6,435,,,,,,,,,,,
1995,Guinea,,,,,,,,,,,,,,,,,,,,238,,2710,,,,,,,285,,,,552,,112,,,342,,,,,,154,,,,,,,,2850,,70,,,,,,,,,,,,,,,,,,,,,,1893,,,,935,,,,,,,,,,,,3226,,,,,,,,,,,,,,,,31,,,,,,,,,,,449575,,,,,,,,,17927,,,,442,,,,,,,,,,,,,,,,,,,1606,1049,,,,,,,,,,,,,,273,,,159,,,,551,,,,,,,,,,786,7805,,,273125,,,,,,,,,68,,,,,,,34,,,,1692,,,,,,,,,,96,,,,636,,,,,,,,,,,
1995,Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,1247,,,,,,,,,,,4069,,,,,,,,,,,,,,,,,,,,,,,,,,,,2407,,,,,,,,,,,,,461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678,,,,,,,,,,,,,,,,,,16635,,,524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257,,,,,,,,,,,
1995,Liberia,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,379,,,,,241,,,,,,,,,,,,,,2132,,,,,,,,,,,,,,,,,,,,,,,,289,,,,650,,906,9723,,,,,,,,32238,2211,,,,,,,756,,,,,,,246,,,,,,,,,,,4133,,,,,,,,,,,1924,,,,,,,,,,,,,,,,,,,291,,,,1101,2337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237,,,124102,,,,,,,,,279,,,,,1094,144,,,,,244,,,,,,,,,,,,1119,,2891,,,,,,,,,,,
1995,Mali,,,507,,,72,,,,,,,,,,,,,,,,566,,,,,,,,,,,20221,,,,618,,,295,,,,190,,,,,4208,,,59377,,,,,,,,,,,,,,,,,,,,,,,,2679,,,4670,621,,,2323,,,,,,,,17896,,,,,,,,,,,,,,,,,,,,,,,,,,,,612,,,,,,,,,,,,,20955,,,,,,,,,,,,,,,,,,,4803,1663,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,12540,,,1283,,,,,,,,,,,,,,,,,,,,934,,,,,,,,,,,,,,242,,,,,,,,,,,
1995,Mauritania,,,1549,,,,,,64,,,,,,,,,,,59,,524,,,,,,,152,,,,,,,,373,49,,,50,,,151,,,,,,,,186,,,,,,,33,,,,,,215,,,,,,,,,,,,,,82,,,,198,,,,,,,,2936,1140,,,,,,,,,,82,,,,53,,,,,,,30,,,,113,,,132,,,,,,,,41626,,,,,,,,,,,,,326,,,,,,,,,,144,,,,,,,,,,,,,,,,,,67,,,,59,,,,,,,,,,291,36493,,,,,,,,,,,,82,,144,,,,,133,,,,111,,,,236,,,,,,,66,,,105,,,,,,,,,,,
1995,Niger,,,364,,,,,,,,,,,,,,,,,,,12961,,,,,,,,,,,13956,,,,329,,,,1077,,,,,,,,,,,2774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,,,,,,,,64573,,,,,,,,,,,,,,,,,,,,,,,,28313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910,,,,,,,,,,,,,,,418,,,,,,,,7356,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Nigeria,,,,,,,,,,,,,,,,,,,,,,117556,,,,,,,,,,,,,,,10384,,,,11265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7931,,,,,,,,,39251,,,,,,,,,,,,,,,,,,,,,,,39858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1574,,,,,,,,,,,,,,,,,,,,52442,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Saint Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,
1995,Senegal,,,3622,,,,,,,,,,,,,,,,,,,3120,,,,,,,560,,,,,,,,875,,,3,,,,,,,,,,,,2428,,,,,,,29,,,,,,,,,,,,,,,,,11977,,,,4458,,754,1543,,,,,,,,44519,24916,,,,,,,,,,,,,,,,,,,,,,,,,952,,220,,,,,,,,,29450,,,,98848,,,,,,,,,3560,,,,,,,,,,1460,733,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,1230,,,,12876,,,,,,,,,,,,,,,,,,,,1443,,,,,0,,,,,,,,,692,,,,,,,,,,,
1995,Sierra Leone,,,,,,,,,,,,,,,,,,,,,,257,,,,,,,,,,,34,,4,,,37,,,3,,,273,,,,,,,,72,,,,,,6,0,,,,,,,,0,0,,,,,,,,,,,,5110,,131,1274,,,,,,,,72442,23,,,,,,,395,,,0,,,,,,6,,,0,,,,,,2066,,8925,,,,,,,,,1904,,,,138,,,,,,,,,,,,,,,,,,,157,2063,,,,,,0,,,,,,,,,,,14,,,,73,0,,,,,,,,,,718,,,,,,,,,0,233,,,,,3,,,,,,,,41,,,,,,,,,,,,595,,493,,,,,,1,,,,0,
1995,Togo,,,,,,,,,,,,,,,,,,,,28,,26058,,,,,,,,,,,6908,,21,,376,20,,201,385,,,278,,,,,138,,,1791,,,,,,,312,,,,,,,,56,,,,,,,,,1523,,,484,574,,87,19575,,,,,,,,1749,69,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,2038,,,,76,,,,,,,,,,,,,,,,,,,14286,11900,,,,,,,,,,,,,,,,,,,,,,899,,,,,,,,21,,544,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,,,,,,,,,,,
1995,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1321,,,,,,3661,,,,,,,,,,,,,,,,,,1223,,4249,,,,1942,,,2272,,,,1308,,,,1395,,,2154,,,,,,1264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3545,,,,,,,,,,3497,,,,,,,,,,6248,,,,,33836,5362,,,,3312,,,,,,,,,,,,,,,,1430,,2802,,,,,,,,166903,2480,,
1995,Egypt,188,96,573,,,21,,13,243,143,,418,557,23,11,325,143,,216,521,,35,,,,,33,,112,,55,58,55,36,,,109,382,,45,264,,20,501,,,52,527,39,,,181,96,,,77,191,93,94,240,247,,,9,,151,,359,16,,503,,,,178,2490,,,,28,,7378,186,7,1077,,,,,7,138,66,,,,,106,,823,1725,118,4401,87,,728,3710,,1105,3473,143,112,,2064,45,,,2232,,36,3176,,,,38,21,2168,12,192,,,,128,,,57,,59,6,,,627,13,9,277,,,863,,88,,88,567,,113,,94,401,403,,,,,,711,329,38,,278,240,45,,194,7112,44,,,,,,,,,5065,334,,14,42,84,,56,,,6209,170,,362,199,52935,11817,,297,1334,5198,68,844,,,,,,513,685,27,,,75,92,475,2573,126,5336,,,80,,25,,,,3850,22,30
1995,Libya,452,266,2079,,,,,,,346,,1016,1288,,,894,613,,625,1197,,,,,,,153,,286,,,,,,,,,1509,,,744,,,1800,,,,2178,183,,,511,,,,,,,299,675,863,,,,11822,485,,1230,,,1470,,,,569,6208,,,,,,16289,526,,2804,,,,,,,213,,,,,297,,2902,6863,340,26910,,,,9034,,2428,12240,492,307,,6919,,,,7318,,,,,,,,,6351,,464,,,,345,,,,,187,,,,2534,,,,,,2158,,,,267,1870,,,,271,1236,1445,,,,,,2566,824,,,921,661,,,537,15828,,,,,,,,,,19379,952,,,144,342,,,,,40088,505,3005,900,486,179924,24407,,779,2854,17576,313,2410,,,,,,1826,2014,115,,,,413,1669,6959,317,13063,,,257,,,,,,13236,,
1995,Morocco,,,8429,,,,,,,,,,,,,,,,,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1180,,,,,,,,,,,,,,,,1166,,,,,,,,,,,13813,,,,,,903,,,,,,,,,618,,,,,,,,,,,1075,,,,1189,,,,,,,,,,,847,,,737,,,,,,,,,,,,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1132,,,,,,,,,,,,2571,,,,,,,1284,,,,,,,,1618,,,,,,,,760,,1147,,,,,,,,,,,
1995,Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18271,85807,,,1711,,,,,,,,,,,,,,,13976,,,,,,21886,,,287519,,,496740,,,,,,,,,,,,,,,,,,,,,,,,,,,,2304,,,,,,,,,,,,6241,,,,,,,,,2439,,,,,,,,1079,,,,,,,,,,,,,,,,,,,,,,,,23677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,,0,,,,,,,,,,,,,,,,,,,,,57771,,,,,,,,,,,,,,,,
1995,Tunisia,,,13669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,546,,,,,,,,,,,,,602,,,,,,,,,,,3841,,,,,,896,,,,,,,,,,,,,,,,,,,,0,,,,1610,,,,,,,,,,,,,,1215,,,,,,,,198,,,,374,,,,,,,,,7220,,,,,,,,,,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323,,,,,,,,,,,,,,627,,,,,377,,,,,,,,,,,,,,,,,,234,,,,,,,,,,,
1995,Western Sahara,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,,,,,,,,,,,,,,,550,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,,,,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Armenia,,,,,,,,,,,,,,560521,,,,,929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27684,700,,,3387,,,,,,,,,,,,,,,,10242,,,,,,,,,835,,,,,,,1198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3422,,,,,,,,,2075,871,,,,5665,,,,,,,1220,,,,,,,,
1995,Azerbaijan,223,,,,,,,,,205368,,,,,,,,,549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581,,,,,,,,,,,,61233,341,,,,,,,,,,,,,,,,,,,1832,,,,,,,,,4336,,,,3061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339,,,34436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298,,,,,,,,2540,2065,,,,3372,,,,,,,20391,,,,,,,,
1995,Bahrain,236,,,,,,,,,,,,,,,,24630,,,,,,,,,,,,,,,,,,,,,,,,154,,,,,,,,,,,,,,,,,,,,,,,,23628,,,558,,,392,,,,,118,,,,,,,,,,,,,,,,,,,,,,,74599,7640,,,,,,,,,4019,,,,1913,,,,800,,,,,,,,,,,,,,,,,,,,,,,,282,,,,,250,156,,,,,205,,,,,,25280,,,,,,10206,,,,13,,,,,,,,,,,,,,,108,,,,,,,,,,374,,586,,5119,1684,4760,,,,1955,,323,,,,,,170,1420,,,,,,1359,1493,,498,,,,,,,,,6464,,
1995,Cyprus,3,98,13,0,,,,,30,413,,1048,125,13,0,38,229,,119,92,0,3,0,,4,,24,3,21,,2,2165,,2,,0,20,529,,6,,,17,563,,,44,,,,2,,30,13,,,238,12,241,60,2,0,4,3,1824,4,,2,10,,29,,,2,174,323,0,,,,5376,914,30,2,8340,,,,,0,0,,,2,,2,122,12,967,61,423,111,273,,135,170,6,30,156,84,30,,82,9,2,58,969,,,81,,33,4,3,3,16,,,12,,0,,4,,23,,,,,,23,4,16,2,,20,170,,33,4,3,108,,7,,71,23,183,,7,,3,12,2535,249,23,2,4,3,331,,1902,4574,0,,,,,0,,,,82,3,891,3,2,12,,48,6,,4,1747,,55,3474,128,183,2,321,133,1146,3,92,,,,,6,13,215,4,,,7,1153,54,12804,51,1119,,2,26,,23,23,,,6,48,108
1995,Georgia,,,,,,,,,,3297,,,,6433,,,,,2118,,,,,,,,,,,,,,,,,,,,,,,,,337,,,,,,,,,,,,,,,,,,,,,,,,,720,,,,,,,,,,,,,1214,,,,,,,,,,,,,,,,,,,,,,,,,,,,3302,,,,484,,398,,,,,,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,3659,,396,89180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2690,,,,,,,,513,1335,,,,23412,,,,,,,9342,,,,,,,,
1995,Iraq,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13058,,,732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211,,44953,,,,,,,,9397,,,,364,,,,1383,,,,,,,,,,,,,,,182,,,,,,,,,532,,,,,,,,,,,,,,,,,619,,,,,,,,,,,,,,,248,,,,,,,,,,612,,,,,,,,,,377,,268,,,73847,3447,,,,5633,,,,,,,,284,17439,,,,,,262,,,,,,,,,,,,1819,,
1995,Israel,2836,,25514,,,,,,29503,,,2435,6471,15271,,,,,32968,4294,,,,,,,,,6759,,,19887,,,,,,5666,,,,,2900,1002,,,1520,,,,,,,,,,,,,1261,,,,,22829,,,,,,50287,,,,516,23373,,,,,24200,27508,,,1723,,,,,,,,,,,,15907,,18225,,51220,77265,,,,4981,,,,8001,,,,1407,,8948,4570,,,19857,,12500,,,,,,,,,,,,,1721,,,,,,166657,,,,,,4717,,,,,,,,,,,,,,,,1021,,93907,,,,,26793,,131109,173915,,,,,,,,,,,,,,,,,,,,,9581,,3065,,,,,1149,3030,11277,4238,,,,,,,39320,32492,871,,,,170963,,17066,,56033,,4936,31147,,624,,,,37172,,
1995,Jordan,75,,320,,,,,,,29,,246,110,,,330,4677,,,61,,,,,,,197,,115,,21,77,,,,,,319,,,18,,,5718,24,,23,,,,,,25,,,87,24,71,,56,,,,,229396,,,115,,,57,,,,,388,,,,,,642,39,,96,,,,,,,,,,,,374,,2572,6415,117,40831,70,,956,447,,135,,14,,,573,,,,2625,,,761,,,,,,664,,,,,,87,,,,,,,,,563,,16,,,115,195,,53,,,28,,158,,31,657,4558,,,,,,3455,93,,,187,106,23,,320,653,,,,,,,,,,4802,,54,,,,,20,,,58,48,285,326,13104,1140038,2309,,96,148,54585,,100,,,,,,269,1101,,,,,263,205,724,,2433,,,,,42,,,,2664,,
1995,Kuwait,1068,,,,,,,,,,,,,,,231,110044,,,,,,,,,,,,,,,,,,,,,,,,697,,,,,,,,,,,,,,,,,,,,,,,,107006,,,2522,,,1776,,,,,505,,,,,,,,,,,,,,,,,,,,,,,332377,34017,,,,,,,,,18028,,,,,,,,3616,,,,,,,,,,,,,,,,,,,,,,,,1277,,,,,1134,729,,,,,929,,,,,,112925,,,,,,45266,,,,60,,,,,,,,,,,,,,,466,,,,,,,,,,1691,,..,,23883,7610,24089,,,,8831,,1460,,,,,,769,6416,,,,,,5852,6908,,2250,,,,,,,,,29202,,
1995,Lebanon,,,,,,,,,,,,,,,,150,2124,,,,,,,,,,,,,,,,,,,,,,,,,,,2596,,,,,,,,,,,,,,,,,,,,,104377,,,,,,,,,,,177,,,,,,292,,,,,,,,,,,,,,,170,,1169,2911,,18572,,,434,,,,1196,,,,260,,,,,,,345,,,,,,,,,,,,,,,,,,,,,256,,,,,,,,,,,,,,,,299,2077,,,,,,1572,,,,,,,,,297,,,,,,,,,,2185,,,,,,,,,,,,129,,5965,428088,1051,,,,24856,,,,,,,,,501,,,,,120,,329,,1108,,,,,,,,,1213,,
